machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;places;label;arg;time
cenva;2048;32;32;1;max;ordered;126;;cores;;125;874362
cenva;2048;128;128;1;max;ordered;247;;cores;;250;1747413
cenva;2048;64;64;1;max;ordered;247;;cores;;250;1754781
cenva;2048;32;32;1;max;ordered;247;;cores;;250;1657828
cenva;2048;128;128;2;max;task;51;;cores;;50;243080
cenva;2048;64;64;2;max;task;51;;cores;;50;267606
cenva;2048;32;32;2;max;task;51;;cores;;50;421525
cenva;2048;128;128;2;max;task;126;;cores;;125;556424
cenva;2048;64;64;2;max;task;126;;cores;;125;584551
cenva;2048;32;32;2;max;task;126;;cores;;125;973503
cenva;2048;128;128;2;max;task;247;;cores;;250;1051400
cenva;2048;64;64;2;max;task;247;;cores;;250;1129162
cenva;2048;32;32;2;max;task;247;;cores;;250;1893721
cenva;2048;128;128;2;max;ordered;51;;cores;;50;405623
cenva;2048;64;64;2;max;ordered;51;;cores;;50;419680
cenva;2048;32;32;2;max;ordered;51;;cores;;50;401657
cenva;2048;128;128;2;max;ordered;126;;cores;;125;918531
cenva;2048;64;64;2;max;ordered;126;;cores;;125;925953
cenva;2048;32;32;2;max;ordered;126;;cores;;125;878026
cenva;2048;128;128;2;max;ordered;247;;cores;;250;1756254
cenva;2048;64;64;2;max;ordered;247;;cores;;250;1751341
cenva;2048;32;32;2;max;ordered;247;;cores;;250;1661001
cenva;2048;128;128;4;max;task;51;;cores;;50;132841
cenva;2048;64;64;4;max;task;51;;cores;;50;142958
cenva;2048;32;32;4;max;task;51;;cores;;50;229006
cenva;2048;128;128;4;max;task;126;;cores;;125;300083
cenva;2048;64;64;4;max;task;126;;cores;;125;314885
cenva;2048;32;32;4;max;task;126;;cores;;125;532487
cenva;2048;128;128;4;max;task;247;;cores;;250;574806
cenva;2048;64;64;4;max;task;247;;cores;;250;604394
cenva;2048;32;32;4;max;task;247;;cores;;250;1043268
cenva;2048;128;128;4;max;ordered;51;;cores;;50;409465
cenva;2048;64;64;4;max;ordered;51;;cores;;50;420561
cenva;2048;32;32;4;max;ordered;51;;cores;;50;402960
cenva;2048;128;128;4;max;ordered;126;;cores;;125;941124
cenva;2048;64;64;4;max;ordered;126;;cores;;125;930822
cenva;2048;32;32;4;max;ordered;126;;cores;;125;871537
