machine;size;tilew;tileh;threads;kernel;variant;iterations;schedule;label;arg;time
cenva;2048;128;128;1;max;ordered;51;;unlabelled;50;423399
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;424065
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;427842
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;420899
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;422766
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;421142
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;420526
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;425634
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;419217
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;419589
cenva;2048;64;64;1;max;ordered;51;;unlabelled;50;421687
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;411506
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;406419
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;405205
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;410458
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;408016
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;405536
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;404296
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;407016
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;404585
cenva;2048;32;32;1;max;ordered;51;;unlabelled;50;407602
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;932620
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;945755
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;937011
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;946951
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;944003
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;937899
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;925835
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;938559
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;922616
cenva;2048;128;128;1;max;ordered;126;;unlabelled;125;944770
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;940646
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;936330
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;940572
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;941554
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;929533
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;933783
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;943866
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;943328
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;949496
cenva;2048;64;64;1;max;ordered;126;;unlabelled;125;946558
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;890096
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;877597
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;893915
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;886693
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;891116
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;885360
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;892242
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;885876
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;901308
cenva;2048;32;32;1;max;ordered;126;;unlabelled;125;888657
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1773590
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1779367
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1765729
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1776513
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1784229
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1779115
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1790898
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1795509
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1783700
cenva;2048;128;128;1;max;ordered;247;;unlabelled;250;1752812
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1776699
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1777617
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1781235
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1782282
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1783323
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1788123
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1792641
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1793706
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1778958
cenva;2048;64;64;1;max;ordered;247;;unlabelled;250;1763301
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1698096
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1681342
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1669208
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1675000
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1671926
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1677115
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1672314
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1671412
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1664855
cenva;2048;32;32;1;max;ordered;247;;unlabelled;250;1683390
cenva;2048;128;128;2;max;task;51;;unlabelled;50;247866
cenva;2048;128;128;2;max;task;51;;unlabelled;50;246225
cenva;2048;128;128;2;max;task;51;;unlabelled;50;243964
cenva;2048;128;128;2;max;task;51;;unlabelled;50;240407
cenva;2048;128;128;2;max;task;51;;unlabelled;50;241969
cenva;2048;128;128;2;max;task;51;;unlabelled;50;241601
cenva;2048;128;128;2;max;task;51;;unlabelled;50;243252
cenva;2048;128;128;2;max;task;51;;unlabelled;50;243655
cenva;2048;128;128;2;max;task;51;;unlabelled;50;245700
cenva;2048;128;128;2;max;task;51;;unlabelled;50;243067
cenva;2048;64;64;2;max;task;51;;unlabelled;50;264287
cenva;2048;64;64;2;max;task;51;;unlabelled;50;266876
cenva;2048;64;64;2;max;task;51;;unlabelled;50;265416
cenva;2048;64;64;2;max;task;51;;unlabelled;50;268077
cenva;2048;64;64;2;max;task;51;;unlabelled;50;267227
cenva;2048;64;64;2;max;task;51;;unlabelled;50;266250
cenva;2048;64;64;2;max;task;51;;unlabelled;50;269726
cenva;2048;64;64;2;max;task;51;;unlabelled;50;264875
cenva;2048;64;64;2;max;task;51;;unlabelled;50;269801
cenva;2048;64;64;2;max;task;51;;unlabelled;50;264978
cenva;2048;32;32;2;max;task;51;;unlabelled;50;421292
cenva;2048;32;32;2;max;task;51;;unlabelled;50;423378
cenva;2048;32;32;2;max;task;51;;unlabelled;50;412547
cenva;2048;32;32;2;max;task;51;;unlabelled;50;423022
cenva;2048;32;32;2;max;task;51;;unlabelled;50;421715
cenva;2048;32;32;2;max;task;51;;unlabelled;50;422562
cenva;2048;32;32;2;max;task;51;;unlabelled;50;418841
cenva;2048;32;32;2;max;task;51;;unlabelled;50;422214
cenva;2048;32;32;2;max;task;51;;unlabelled;50;413646
cenva;2048;32;32;2;max;task;51;;unlabelled;50;426013
cenva;2048;128;128;2;max;task;126;;unlabelled;125;546462
cenva;2048;128;128;2;max;task;126;;unlabelled;125;550646
cenva;2048;128;128;2;max;task;126;;unlabelled;125;535891
cenva;2048;128;128;2;max;task;126;;unlabelled;125;551930
cenva;2048;128;128;2;max;task;126;;unlabelled;125;540403
cenva;2048;128;128;2;max;task;126;;unlabelled;125;542482
cenva;2048;128;128;2;max;task;126;;unlabelled;125;544186
cenva;2048;128;128;2;max;task;126;;unlabelled;125;547297
cenva;2048;128;128;2;max;task;126;;unlabelled;125;557092
cenva;2048;128;128;2;max;task;126;;unlabelled;125;559029
cenva;2048;64;64;2;max;task;126;;unlabelled;125;594364
cenva;2048;64;64;2;max;task;126;;unlabelled;125;589489
cenva;2048;64;64;2;max;task;126;;unlabelled;125;594209
cenva;2048;64;64;2;max;task;126;;unlabelled;125;589049
cenva;2048;64;64;2;max;task;126;;unlabelled;125;595932
cenva;2048;64;64;2;max;task;126;;unlabelled;125;589708
cenva;2048;64;64;2;max;task;126;;unlabelled;125;596029
cenva;2048;64;64;2;max;task;126;;unlabelled;125;583339
cenva;2048;64;64;2;max;task;126;;unlabelled;125;591100
cenva;2048;64;64;2;max;task;126;;unlabelled;125;593836
cenva;2048;32;32;2;max;task;126;;unlabelled;125;975315
cenva;2048;32;32;2;max;task;126;;unlabelled;125;974116
cenva;2048;32;32;2;max;task;126;;unlabelled;125;989004
cenva;2048;32;32;2;max;task;126;;unlabelled;125;945059
cenva;2048;32;32;2;max;task;126;;unlabelled;125;974517
cenva;2048;32;32;2;max;task;126;;unlabelled;125;955701
cenva;2048;32;32;2;max;task;126;;unlabelled;125;975159
cenva;2048;32;32;2;max;task;126;;unlabelled;125;981625
cenva;2048;32;32;2;max;task;126;;unlabelled;125;972280
cenva;2048;32;32;2;max;task;126;;unlabelled;125;966079
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1048934
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1026449
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1044326
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1063806
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1064512
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1070621
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1054083
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1035865
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1052820
cenva;2048;128;128;2;max;task;247;;unlabelled;250;1063925
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1137636
cenva;2048;64;64;2;max;task;247;;unlabelled;250;1156010
